BEST FRIENDS ,LAPTOP ,TUH ,DARI ,GET MORE ,HEHE ,MEN ,JADI ,PAKE ,MAKES ,GET MORE FOLLOWERS BEST FRIENDS ,WILL FOLLOW YOU BACK YOU FOLLOW ,MORE FOLLOWERS BEST FRIENDS WILL FOLLOW YOU ,FRIENDS WILL ,MORE FOLLOWERS BEST FRIENDS WILL FOLLOW YOU BACK YOU FOLLOW ,MORE FOLLOWERS BEST ,FOLLOW YOU BACK ,BEST FRIENDS WILL FOLLOW ,BEST FRIENDS WILL FOLLOW YOU BACK YOU ,FOLLOWERS BEST FRIENDS WILL FOLLOW YOU BACK YOU FOLLOW 
0,0,1.85961,1.21989,0,1.48365,3.07692,0.817498,0,2.06474,0,0,0,0,0,0,0,0,0,0
0,0,1.73515,0,0,1.41031,10.5501,1.82403,5.47723,0.811147,0,0,0,0,0,0,0,0,0,0
0,0,1.63274,0,0,0,5.3133,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.73929,0,0,1.03169,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.69464,0,0,0.848478,0,0,0,0,0,0,0,0,0,0
0,0,0,1.18158,0,0,1.6032,1.29797,5.49809,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.653197,0,0,1.19358,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.77991,0,1.44338,0,0,0,0,0,0,0,0,0,0
4.24264,0,1.70369,0,6.08276,0,0.513368,0,0,0,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276,6.08276
0,4.30116,1.62241,0,0,1.55519,1.15175,0.715278,0,0,0,0,0,0,0,0,0,0,0,0
3.51188,0,0,1.21335,0,0,0.522827,0,5.35264,0,0,0,0,0,0,0,0,0,0,0
0,0,2.2902,0,0,1.51767,1.48034,0.726772,0,0.904874,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.09084,0,2.33853,0,0,0,0,0,0,0,0,0,0,0
3.1225,4.95993,0,1.72795,0,1.48504,0,0,0,0.908052,0,0,0,0,0,0,0,0,0,0
0,0,1.50441,0,0,1.4326,0,1.7812,3.05889,3.15794,0,0,0,0,0,0,0,0,0,0
0,3.97394,0,1.67778,0,0.828741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.86356,0,0,1.12657,4.69042,0,0.446713,0,0,0.770146,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042,4.69042
0,0,0,3.03207,0,1.39464,0.78461,1.74502,0,0.757146,0,0,0,0,0,0,0,0,0,0
2.64575,0,1.52078,0.959687,3.87298,1.3529,0.425987,0,0,0,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298,3.87298
0,2.54853,0,0.493362,0,0,0,0,0,1.29174,0,0,0,0,0,0,0,0,0,0
0,0,0,0.938347,0,0.783634,0.436226,0,0,1.78208,0,0,0,0,0,0,0,0,0,0
0,0,0,0.46945,0,0,0,0.749856,2.1251,0,0,0,0,0,0,0,0,0,0,0
0,0,1.53494,0.463932,0,1.90051,0,0.736594,0,1.73318,0,0,0,0,0,0,0,0,0,0
0,0,0,0.458604,0,0,1.53349,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.48246,0,0,0,0,1.48634,1.24771,0,2.70449,0,0,0,0,0,0,0,0,0,0
0,2.33258,0,0.933664,0,1.31715,0.744294,1.21442,0,0.594436,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.18365,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2.14811,0,0.603824,0,0,0,0,0,0,0,0,0,0
4.74566,0,0,0,4.9897,1.32169,0,1.55482,0,0,4.9897,4.9897,4.9897,4.9897,4.9897,4.9897,4.9897,4.9897,4.9897,4.9897
2.24698,0,1.60475,0,3.03611,0,0.423856,1.0307,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.26652,0,0,1.30875,0,0,0,0.628472,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.35721,0,1.50384,2.22381,0,0,0,0,0,0,0,0,0,0,0
0,2.34484,1.49036,0,0,0,0,0,2.95575,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22496,2.25197,0,0.580396,0,1.23197,0.470295,1.49776,0,0.666126,0,0,0,0,0,0,0,0,0,0
3.82557,0,3.55699,0,5.09717,0,1.20188,0,0,0,4.3655,4.3655,4.3655,4.3655,4.3655,4.3655,4.3655,4.3655,4.3655,4.3655
0,3.89951,0,1.06225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.90543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.63972,0,0,0,0,1.51026,0,0,0,0,0,0,0,0,0,0,0,0
3.39729,3.54891,1.26215,0,3.4427,0.744951,0.481054,1.00579,0,0,3.9076,3.9076,3.9076,3.9076,3.9076,3.9076,3.9076,3.9076,3.9076,3.9076
0,0,1.23908,2.5187,0,0.736696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1492,0,0,0.556941,4.0691,1.7846,0.488029,2.40273,0,0,4.50935,4.50935,4.50935,4.50935,4.50935,4.50935,4.50935,4.50935,4.50935,4.50935
0,0,0,0,0,0.693688,0,0,2.12863,0,0,0,0,0,0,0,0,0,0,0
1.58492,0,1.24496,0.564514,0,0,0.494792,1.40008,0,0.766332,0,0,0,0,0,0,0,0,0,0
1.54812,0,1.22377,0.559483,2.07342,0.699668,0,2.264,0,0,2.27059,2.27059,2.27059,2.27059,2.27059,2.27059,2.27059,2.27059,2.27059,2.27059
0,0,0,0.554584,0,0,0,0.862401,0,1.28197,0,0,0,0,0,0,0,0,0,0
1.52794,1.86561,1.21682,1.01932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.47534,0,2.82374,0,0.429675,0,2.80545,0,0,0,0,0,0,0,0,0,0
