CINTA ,LES ,BOM ,AKAN ,SIAPA ,PAS ,ORANG ,IYA ,BARU ,KAK ,GUE ,TADI ,PENGEN ,BUAT ,KALO ,SAKIT ,UNTUK ,PERNAH ,UDAH ,UDH 
0,0,0,0,2.11443,0,0,0,1.06202,0,-0.871465,0,0,2.23957,1.05251,0,3.42237,0,0.331655,0
0,1.43065,0,0,1.5051,0,0,0,0,0.929667,1.79285,2.41406,0,0.303553,0.610799,0,0,4.04746,0.734983,0
0,1.40624,0,0,1.4788,0,0.443375,0,1.53068,0,0.252718,0,1.35996,0.301707,1.03716,0,0,0,0,0
0,1.38303,0,0,0,1.08128,1.33113,0,0.569403,1.43266,0.25127,0,0,0,0.163897,0,0,0,0,0
2.85774,1.36094,8.48545,0,0.923022,0,1.75526,0,0.565305,0,-0.507751,0,3.9414,0,0,0,2.63111,0,1.96195,0
0,1.33988,0,0,1.45679,0,0,0.1223,1.03157,1.92262,-0.504387,1.66592,1.20673,0,1.89759,4.27799,0,2.91889,1.11779,0
2.73684,0,0,2.31794,0,1.66027,2.16866,0.538744,0,2.37176,2.93496,3.02943,1.18985,0.334328,0.156259,0,0,0,0.310334,1.68863
0,0,0,0,1.44447,0,1.24463,0.535159,1.50162,0.84277,0,0,0,0,0.581728,0,0,0,0.707669,0
2.6326,0,0,0,0,0,0.798584,0.531646,1.00872,0.835437,0.240416,1.54602,0,0.814234,0,0,1.33941,0,1.10238,1.66719
3.26939,1.35305,0,0,1.43282,0,0.361184,0.106492,0,0,0.603341,0,0,0.807272,0,2.24811,0,0,-0.109013,0
3.78968,1.33333,0,1.60131,0,0,1.65723,2.225,0,0.837124,-0.131538,1.53005,1.20665,1.74564,-0.242912,0,0,2.83977,2.30176,1.64711
0,0,4.03815,0,0,1.6743,0,1.74576,0,0,-0.130874,1.5041,0,0.775,0.182277,2.19433,0,1.92972,1.4455,3.01952
0,0,0,0,0.89318,2.21195,0,0,1.02851,1.32767,1.71456,0,1.20135,0,0,0,0,1.88151,1.42388,0
0,0,0,0,0,0,0,1.72018,0.548558,0,0,0,0,0,0.195034,0,0,0,0,0
