TUHAN ,HANYA ,DER ,WWW ,ITU ,BUKAN ,BAGI ,BREAKFAST ,GREEN ,ANNOYING ,DAMNITSTRUE ,MALAH ,200 ,BOM DIA ,WAKTU ,NIH ,THAT AWKWARD ,PASTI ,PAKE ,ZIJN 
0,0,3.56156,0,0.870588,0,0,8.544,5.20499,0,0,0,0,0,0,0,5.36002,2.54393,5.5764,0
0,0,4.58019,1.74712,0.0540936,1.13576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.28788,8.99396,3.10814,3.19301,2.4962,3.49811,0,0,3.50367,0,0,11.8794,0,0,0,1.14052,0,0,2.74408,0
0,0,2.98445,0,0.437139,0,0,0,0,0,0,0,0,0,0,1.13204,0,1.76394,2.67064,0
0,0,0,1.66083,1.63944,2.21964,0,0,0,0,0,0,0,0,0,0.267821,4.927,0,0,0
0,0,0,1.64067,3.21674,2.17838,0,0,0,0,0,0,10.4881,0,0,2.84235,0,1.74823,0,0
4.24979,7.20293,5.01096,1.62123,5.04309,1.01975,0,7.0946,3.38466,0,0,0,0,0,3.27481,1.0833,0,0,0,0
3.96682,4.56427,0,2.30609,-0.0277457,2.13266,0,0,0,0,0,0,0,0,3.15154,0.656152,0,0,0,0
0,0,0,2.95464,1.41973,0.988893,8.94427,0,0,0,0,0,0,0,0,0.653201,0,3.20846,0,0
3.74898,0,0,2.8666,1.40629,1.53649,6.32456,0,0,0,13.6301,0,0,0,4.16654,0,0,0,1.89189,4.38888
7.35138,4.28228,2.66497,2.78598,1.03361,2.07199,0,0,0,0,6.09804,0,0,3.96863,0,0.656587,6.23953,1.67978,0,0
2.96313,0,0,0,-0.0516846,0,0,0,0,0,0,0,7.58288,4.82677,0,0,0,2.37171,0,0
7.03547,4.03857,0,2.07042,-0.0515234,0.952698,7.0346,0,0,11.9583,0,0,0,0,0,1.50355,0,0,0,5.26672
0,0,3.57592,1.39271,1.03397,3.13501,0,6.26498,0,0,0,7.03332,0,0,3.97409,1.48873,0,3.03642,0,3.81247
0,0,0,0,1.38914,0,0,0,0,0,0,0,0,5.33266,0,2.73045,0,0,3.41565,0
0,0,0,0,-0.0659821,0,0,0,3.34285,8.51469,0,0,0,0,0,1.01969,0,0,0,0
0,0,0,0,2.46678,0,0,0,0,0,0,0,0,3.54912,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198022,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.609296,0,0,0,0
0,0,0,0,0,0,0,0,5.5993,0,0,0,0,0,0,0.194188,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205611,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211521,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.411345,1.54942,0,0,0,0,0,0,0,0,2.92778,0.255937,0,0,0,2.81468
