ZSCORES
WANT ,NOW ,THAT ,GOOD ,DONT ,MISS ,PHOTO ,LIKE ,VOU ,GET ,LOL ,LIVE ,NOT ,MEU ,AND ,GOT ,JUST ,LT3 ,THIS ,THE ,QUE ,HOME ,LOVE ,HAHA ,WORK ,BABY ,QUIERO ,LIFE ,VER ,ESTA ,FEEL ,FOLLOW ,YOU ,OKAY ,THEY ,NOITE ,WHY ,CUTE ,GAME ,WELCOME ,WANNA ,SICK ,FINE ,DORMIR ,GTLT ,AMOR 
1,-0.01,0.0,0.0,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,0.0,0.0
1,-0.01,-0.01,0.027196,0.0333334,-0.01,-0.01,0.01450952,-0.01,-0.01,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00298142,-0.00298142,-0.00298142
1,0.0666668,0.0249444,0.00666972,-0.01,0.0275298,-0.01,0.00930388,0.0188562,-0.01,0.0140028,0.00454344,0.00989744,0.00730972,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00365506,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.001310772,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.000792428,-0.01,-0.01,-0.000792428,-0.000792428,-0.000792428,-0.000712696,-0.000792428,-0.01,-0.000712696,-0.000712696
1,-0.01,0.01472888,-0.01,-0.01,-0.01,-0.01,0.000481716,-0.01,0.01599648,-0.01,0.00354022,-0.01,-0.01,0.00451296,-0.01,-0.01,-0.01,0.000718884,-0.01,0.000810828,-0.01,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
1,-0.01,-0.01,0.001532428,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.001655212,0.0007727,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.000347524,-0.000347524,-0.01,-0.000347524,-0.000347524,-0.000326598,-0.000347524,-0.01,-0.01,-0.000326598
1,-0.01,-0.01,-0.01,-0.01,-0.01,0.0246576,-0.01,0.0032271,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.00403472,0.0028791,-0.01,-0.01,-0.01,-0.01,0.000426024,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.000247594,-0.01,-0.01,-0.01,-0.00023558,-0.000247594,-0.01,-0.01,-0.01
1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.000187448,-0.000224506,-0.000224506,-0.01,-0.000204798,-0.000204798,-0.000204798,-0.000204798,-0.000204798,-0.0001959984,-0.000204798,-0.01,-0.01,-0.01
1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.000224506,-0.01,-0.000224506,-0.000224506,-0.01,-0.000204798,-0.000204798,-0.000204798,-0.000204798,-0.000204798,-0.0001959984,-0.000204798,-0.01,-0.01,-0.01
1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.000187448,-0.000224506,-0.000224506,-0.01,-0.000204798,-0.000204798,-0.000204798,-0.000204798,-0.000204798,-0.0001959984,-0.000204798,-0.01,-0.01,-0.01
