TTANALYZER,HOURLY REPORT,2011-12-27 14:00:10 UTC
 
ZSCORES
 
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
RANKS
 
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
FREQUENCY
 
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
RANKS BY TERM
 ,1,2,3,4,5,6,7,8,9,10
2011-12-27 14:01:13   1
2011-12-27 14:06:07   2
2011-12-27 14:11:08   3
2011-12-27 14:16:07   4
2011-12-27 14:21:08   5
2011-12-27 14:26:09   6
2011-12-27 14:31:08   7
2011-12-27 14:36:08   8
2011-12-27 14:41:09   9
2011-12-27 14:46:08   10
2011-12-27 14:51:07   11
2011-12-27 14:56:09   12
 
 
 
RANKS BY TERM (TWITTER TRENDS)
 ,1,2,3,4,5,6,7,8,9,10
2011-12-27 14:01:13   1,#ASKJOSH,MARU BOTANA,#16ANOS,#DOGSONGS,AYTAç DURAK,SHASHI THAROOR,MY AMNESIA GIRL,SELF-DETERMINATION,FELIZ MARTES,Суркова
2011-12-27 14:06:07   2,#ASKJOSH,MARU BOTANA,#16ANOS,#DOGSONGS,AYTAç DURAK,SHASHI THAROOR,MY AMNESIA GIRL,SELF-DETERMINATION,FELIZ MARTES,Суркова
2011-12-27 14:11:08   3,MARU BOTANA,#ASKJOSH,CASE-SHILLER,#DOGSONGS,#16ANOS,SELF-DETERMINATION,YANG SEUNGHO,WELSH NATIONAL,SHASHI THAROOR,MY AMNESIA GIRL
2011-12-27 14:16:07   4,MARU BOTANA,#ASKJOSH,CASE-SHILLER,#DOGSONGS,#16ANOS,SELF-DETERMINATION,YANG SEUNGHO,WELSH NATIONAL,SHASHI THAROOR,MY AMNESIA GIRL
2011-12-27 14:21:08   5,MARU BOTANA,#DOGSONGS,#16ANOS,#ASKJOSH,YANG SEUNGHO,SHASHI THAROOR,HAPPYBDAYHAYLEYWILLIAMS,MY AMNESIA GIRL,WALCOTT,Суркова
2011-12-27 14:26:09   6,#ASKJOSH,MARU BOTANA,#ASKHARRY,#DOGSONGS,YANG SEUNGHO,EXO TEASER 3,HAPPYBDAYHAYLEYWILLIAMS,FELIZ MARTES,MY AMNESIA GIRL,IOS 5.0.1
2011-12-27 14:31:08   7,LE BEAU BAI,#ASKJOSH,MARU BOTANA,#ASKHARRY,#DOGSONGS,HAPPYBDAYHAYLEYWILLIAMS,EXO TEASER 3,YANG SEUNGHO,MY AMNESIA GIRL,FELIZ MARTES
2011-12-27 14:36:08   8,#ASKHARRY,MARU BOTANA,#ASKJOSH,LE BEAU BAI,#DOGSONGS,HAPPYBDAYHAYLEYWILLIAMS,EXO TEASER 3,YANG SEUNGHO,FELIZ MARTES,IOS 5.0.1
2011-12-27 14:41:09   9,#ASKHARRY,MARU BOTANA,#ASKJOSH,LE BEAU BAI,#DOGSONGS,HAPPYBDAYHAYLEYWILLIAMS,EXO TEASER 3,YANG SEUNGHO,FELIZ MARTES,IOS 5.0.1
2011-12-27 14:46:08   10,#ASKHARRY,MARU BOTANA,#ASKJOSH,#THEBEST4,HAPPYBDAYHAYLEYWILLIAMS,CAROLINA ZúñIGA,EXO TEASER 3,YANG SEUNGHO,MY AMNESIA GIRL,FELIZ MARTES
2011-12-27 14:51:07   11,MARU BOTANA,#THEBEST4,#ASKHARRY,#ASKJOSH,CAROLINA ZúñIGA,HAPPYBDAYHAYLEYWILLIAMS,FELIZ MARTES,EXO TEASER 3,YANG SEUNGHO,IOS 5.0.1
2011-12-27 14:56:09   12,MARU BOTANA,#THEBEST4,#ASKHARRY,#ASKJOSH,CAROLINA ZúñIGA,HAPPYBDAYHAYLEYWILLIAMS,FELIZ MARTES,EXO TEASER 3,YANG SEUNGHO,IOS 5.0.1
 
SCORES (TWITTER TRENDS)
 ,TERM,SCORE,MINUTES
1,#THINGSTHATMAKEMESMILE,320,180
2,#1FACTABOUTME,322,175
3,MARU BOTANA,224,190
4,#YOUKNOWILIKEYOU,244,130
5,#MYTOP5GAGASONGSEVER,199,110
6,CHRIS BROWN IS AMAZING,159,120
7,BAD ROMANCE,124,120
8,WHO FRAMED ROGER RABBIT,112,105
9,#GREATEXPECTATIONS,130,80
10,#ASKJOSH,132,75
11,#THEBEST4,113,70
12,DANCE IN THE DARK,84,85
13,#ELDISCODELAñO,103,65
14,#HAPPY21STDAVIDARCHIE,93,60
15,REMEDIOS CERVANTES,72,75
16,FELIZ MARTES,50,105
17,MY AMNESIA GIRL,57,75
18,#HOESFAVORITELINE,89,45
19,MERRY DAY AFTER AFTER CHRISTMAS,61,65
20,BECAUSE OF HARRY POTTER,63,60
21,BEN NELSON,61,60
22,#BFQOTY,78,45
23,#DOGSONGS,70,50
24,HAPPYBDAYHAYLEYWILLIAMS,53,60
25,RAY WILKINS,53,60
26,KIDRAUHL TIME,57,55
27,WILLY WONKA AND THE CHOCOLATE FACTORY,62,50
28,HEY BOY,62,50
29,#FRASESDEPUTEADERO,55,55
30,CATê,54,55
31,FIX A JONAS,55,50
32,#REPLACEBIEBERSONGSWITHKIDRAUHL,68,40
33,#ASKNIALL,65,40
34,CARLOS TALAVERA,42,60
35,#ITOLDYOUSO,62,40
36,JEREMY LIN,41,60
37,#REPLACEDEMISONGSWITHJONAS,67,35
38,#PROUDBELIEBERBECAUSE,67,35
39,#BENFENERBAHCELIYIM,67,35
40,EXO TEASER 3,42,55
41,#VOCEJAVIU,54,40
42,#ASKHARRY,61,35
43,YANG SEUNGHO,38,55
44,SHREK THE THIRD,32,65
45,WE LOVE MONET,52,40
46,BRAYLON EDWARDS,31,65
47,TWINTERACT,46,40
48,HEAVY METAL LOVER,28,60
49,BIG FAT QUIZ OF THE YEAR,45,35
50,#UITDEKAST,51,30
51,#NEWYEARISCOMING,51,30
52,WAYNE HENNESSEY,43,35
53,POKER FACE,29,50
54,GET JONAS,35,40
55,#16ANOS,45,30
56,BELIEVE IN JONAS,33,40
57,#IMGETTINGTIREDOF,50,25
58,#ASKELEANOR,47,25
59,THIS IS JONAS,32,35
60,NICK JONAS IS OUR DIABETIC HERO,37,30
61,ARSENAL 1-1 WOLVES,37,30
62,DIOGO NOGUEIRA,42,25
63,#SB2012,41,25
64,FAT ALBERT,20,50
65,BORN TO BE KIDRAUHL,30,30
66,SHAOLIN SOCCER,25,35
67,CAMELA,29,30
68,INSIDE MAN,28,30
69,SHASHI THAROOR,26,30
70,TROPIC THUNDER,24,30
71,STEVEN FLETCHER,24,30
72,#ASKJOEY,34,20
73,JIMMY CARR'S,17,40
74,IOS 5.0.1,15,45
75,#MARSMEMORIES,32,20
76,#WELCOMETOSAUDIARABIA,32,20
77,VOORT,31,20
78,SUSAN BOYLE,17,35
79,#BELIEVE,27,20
80,GUNNER KIEL,21,25
81,#CODYTO2MILLION,26,20
82,YASHWANT SINHA,25,20
83,GERVINHO,20,25
84,SCHOOL IS APPROACHING,16,30
85,LACRAIA,19,25
86,PAPA CHEN,15,30
87,CHAMAKH,15,30
88,RAHEEM STERLING,15,30
89,GOOD AFTERNOON ATL,18,25
90,#ARTTM2012,27,15
91,DAVID WALLIAMS,16,25
92,#ASKAGM,26,15
93,OCEAN MARKETING,13,30
94,#JANUARYSIGNINGS,25,15
95,LE BEAU BAI,24,15
96,DIANA NAVARRO,23,15
97,#THEGREENMILE,23,15
98,STOP THE JONAS,17,20
99,THE 15 BEST MOBILE APPS OF 2011,17,20
100,#NEWBREEDSTARJAYPARK,22,15
101,NORWICH,13,25
102,WOLVES,13,25
103,SELF-DETERMINATION,16,20
104,BIMBA BOSé,21,15
105,DAVE CHISNALL,20,15
106,GRANT HOLT,19,15
107,WHO'S THAT JONAS,14,20
108,DIABETIC HERO,14,20
109,IRINA VINER,14,20
110,FOR THE LOVE OF A JONAS,18,15
111,CAROLINA ZúñIGA,17,15
112,MISS HAVISHAM,17,15
113,STUCK IN THE KIDRAUHL,17,15
114,MARIO VAQUERIZO,16,15
115,AYTAç DURAK,16,15
116,COME ON YOU GUNNERS,16,15
117,ARSENAL VS WOLVES,16,15
118,NEVER LET KIDRAUHL GO,16,15
119,DúO DINáMICO,14,15
120,WESTERN MICHIGAN,10,20
121,NIñA PASTORI,19,10
122,PHIL TAYLOR,12,15
123,MILIJAS,18,10
124,WUMBO,12,15
125,KYLE WALKER,11,15
126,LITTLE CAESARS BOWL,11,15
127,ALAN CARR,8,20
128,JM DE GUZMAN,16,10
129,#LIBROSFNAC,16,10
130,#HACHI,16,10
131,CASE-SHILLER,16,10
132,MY WORD,10,15
